rev, NumMutatns, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, n/a, n/a, n/a, n/a, n/a, n/a
rev_3, n/a, n/a, n/a, n/a, n/a, n/a
rev_4, n/a, n/a, n/a, n/a, n/a, n/a
rev_5, n/a, n/a, n/a, n/a, n/a, n/a
rev_6, n/a, n/a, n/a, n/a, n/a, n/a
rev_7, n/a, n/a, n/a, n/a, n/a, n/a
rev_8, n/a, n/a, n/a, n/a, n/a, n/a
rev_9, n/a, n/a, n/a, n/a, n/a, n/a
rev_10, n/a, n/a, n/a, n/a, n/a, n/a
rev_11, n/a, n/a, n/a, n/a, n/a, n/a
rev_12, n/a, n/a, n/a, n/a, n/a, n/a
rev_13, n/a, n/a, n/a, n/a, n/a, n/a
rev_14, n/a, n/a, n/a, n/a, n/a, n/a
rev_15, n/a, n/a, n/a, n/a, n/a, n/a
rev_16, n/a, n/a, n/a, n/a, n/a, n/a
rev_17, n/a, n/a, n/a, n/a, n/a, n/a
rev_18, n/a, n/a, n/a, n/a, n/a, n/a
rev_19, n/a, n/a, n/a, n/a, n/a, n/a
rev_20, n/a, n/a, n/a, n/a, n/a, n/a
rev_21, n/a, n/a, n/a, n/a, n/a, n/a
rev_22, 824, 87, 87, 87, 89, 89
rev_23, n/a, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a, n/a
rev_25, n/a, n/a, n/a, n/a, n/a, n/a
rev_26, n/a, n/a, n/a, n/a, n/a, n/a
rev_27, n/a, n/a, n/a, n/a, n/a, n/a
rev_28, 187, 88, 88, 88, 0, 95
rev_29, 187, 88, 88, 88, 0, 95
rev_30, 187, 88, 88, 88, 0, 95
rev_31, n/a, n/a, n/a, n/a, n/a, n/a
rev_32, n/a, n/a, n/a, n/a, n/a, n/a
rev_33, n/a, n/a, n/a, n/a, n/a, n/a
rev_34, n/a, n/a, n/a, n/a, n/a, n/a
rev_35, n/a, n/a, n/a, n/a, n/a, n/a
rev_36, n/a, n/a, n/a, n/a, n/a, n/a
rev_37, n/a, n/a, n/a, n/a, n/a, n/a
rev_38, n/a, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a, n/a
rev_40, n/a, n/a, n/a, n/a, n/a, n/a
rev_41, 573, 0, 0, 0, 0, 0
rev_42, 35, 0, 0, 0, 0, 0
rev_43, 65, 82, 82, 82, 94, 94
rev_44, 65, 85, 85, 85, 94, 94
rev_45, 65, 82, 82, 82, 94, 94
rev_46, n/a, n/a, n/a, n/a, n/a, n/a
rev_47, n/a, n/a, n/a, n/a, n/a, n/a
rev_48, n/a, n/a, n/a, n/a, 0, 51
rev_49, n/a, n/a, n/a, n/a, n/a, n/a
rev_50, n/a, n/a, n/a, n/a, n/a, n/a
